STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
NEW YORK,SHELLEY B. MAYER,STATE SENATE,37,251093.07
NEW YORK,COLIN J. SCHMITT,STATE ASSEMBLY,99,144967.44999999998
NEW YORK,ALESSANDRA BIAGGI,STATE SENATE,34,395198.10000000003
NEW YORK,ANDREW W. GOODELL,STATE ASSEMBLY,150,26164.61
NEW YORK,PATRICIA A. RITCHIE,STATE SENATE,48,61924.52
NEW YORK,MARITZA DAVILA,STATE ASSEMBLY,53,103953.80000000002
NEW YORK,BRIAN A. BENJAMIN,STATE SENATE,30,398809.72000000003
NEW YORK,NATHALIA FERNANDEZ,STATE ASSEMBLY,80,13742.400000000001
NEW YORK,LATOYA JOYNER,STATE ASSEMBLY,77,80268.93000000001
NEW YORK,MARJORIE L. BYRNES,STATE ASSEMBLY,133,102735.98999999999
NEW YORK,EDWARD A. RATH,STATE SENATE,61,32137.879999999997
NEW YORK,MATTHEW J. SIMPSON,STATE ASSEMBLY,114,58978.659999999996
NEW YORK,JESSICA GONZALEZ-ROJAS,STATE ASSEMBLY,34,0.0
NEW YORK,ROBERT C. CARROLL,STATE ASSEMBLY,44,42675.84999999999
NEW YORK,KAREN M. MCMAHON,STATE ASSEMBLY,146,320343.2800000001
NEW YORK,WILLIAM C. CONRAD,STATE ASSEMBLY,140,148738.12
NEW YORK,AMY R. PAULIN,STATE ASSEMBLY,88,180066.11
NEW YORK,REBECCA A. SEAWRIGHT,STATE ASSEMBLY,76,591741.68
NEW YORK,PETER OBERACKER,STATE SENATE,51,242479.96
NEW YORK,YUH-LINE NIOU,STATE ASSEMBLY,65,315940.0800000001
NEW YORK,PAMELA J. HUNTER,STATE ASSEMBLY,128,90867.92
NEW YORK,JEFFREY DINOWITZ,STATE ASSEMBLY,81,130179.87999999999
