NAME,CATEGORY
THE CAMPAIGN WORKSHOP,CAMPAIGN CONSULTING
THE COFFEE BEAN,MEALS & CATERING
THE DUBLIN GROUP,CAMPAIGN CONSULTING
THE EPPSTEIN GROUP,"PR, COMMUNICATIONS, & MARKETING"
THE INCITE AGENCY,CAMPAIGN CONSULTING
THE LUKENS COMPANY,"PR, COMMUNICATIONS, & MARKETING"
THE MAILING CENTER,SHIPPING & POSTAGE
THE MANAHAN GROUP,"PR, COMMUNICATIONS, & MARKETING"
THE MELLMAN GROUP,POLLING & RESEARCH
THE NEW MEDIA FIRM,MEDIA & ADS
THE PARKSIDE GROUP,"PR, COMMUNICATIONS, & MARKETING"
THE PIVOT GROUP,"PR, COMMUNICATIONS, & MARKETING"
THE POLITICAL FIRM,CAMPAIGN CONSULTING
THE PROSPER GROUP,DIGITAL & SOCIAL MEDIA CONSULTING
THE SCRAP SHOP,CAMPAIGN SIGNS & PARAPHERNALIA
THE STONERIDGE GROUP,CAMPAIGN CONSULTING
THE STRATEGY GROUP,CAMPAIGN CONSULTING
THE TRAFALGAR GROUP,POLLING & RESEARCH
THE UPS STORE,SHIPPING & POSTAGE
THE VINCI GROUP,CAMPAIGN CONSULTING
THE VOYAGEUR COMPANY,FUNDRAISING & FUNDRAISING CONSULTING
THE WESTIN,TRAVEL & LODGING
THE WICKERS GROUP,CAMPAIGN CONSULTING
THREE ELEPHANT PUBLIC RELATIONS,"PR, COMMUNICATIONS, & MARKETING"
TIME WARNER,UTILITIES
TOTAL COMMUNITY ACTION,CONTRIBUTION & DONATION
TRIUMPH CAMPAIGNS,CAMPAIGN CONSULTING
TWITTER,DIGITAL ADVERTISING
UBER,TRAVEL & LODGING
UBERCONFERENCE,SOFTWARE & TECHNOLOGY
UNION 76,FUEL & GAS
UNITED AIRLINES,TRAVEL & LODGING
UNITED STATES (US) TREASURY,TAXES
UNITED STATES POSTAL SERVICE/POSTMASTER (USPS),SHIPPING & POSTAGE
UNITED STRATEGIES,CAMPAIGN CONSULTING
